freight_value,freight_ratio
17.84,0.21
10.96,0.275
8.4,0.28
14.05,0.058
16.32,0.359
16.11,0.329
15.1,1.164
8.72,0.188
18.28,0.458
54.52,0.191
23.0,0.384
9.34,0.133
14.56,0.122
16.5,0.066
1.52,0.006
10.96,0.715
16.85,0.109
19.7,0.27
10.96,0.44
25.7,0.428
15.05,0.11
7.94,0.81
12.23,0.053
7.39,0.371
11.1,0.159
30.86,0.391
19.68,0.098
17.63,0.353
12.79,0.256
25.95,0.165
12.96,0.204
22.85,0.571
16.11,0.46
19.83,0.233
23.26,0.24
11.93,0.092
11.73,0.216
15.48,0.148
7.78,0.556
15.67,0.121
7.78,0.13
26.27,0.204
21.02,0.14
9.69,0.072
25.31,0.232
8.87,0.306
12.76,0.071
17.92,0.465
16.11,0.343
20.93,0.035
16.95,0.057
17.42,0.124
15.74,0.112
15.1,1.291
28.8,0.032
11.85,0.296
22.35,0.372
12.48,0.627
9.46,0.06
10.96,0.244
14.72,0.186
19.78,0.082
16.2,0.255
19.7,0.27
15.1,0.343
16.4,0.149
9.34,0.553
15.2,0.234
18.93,0.08
11.85,0.474
44.64,0.372
12.6,0.127
7.71,0.514
15.56,0.06
25.54,0.256
9.55,0.274
18.04,0.301
52.83,0.528
7.78,0.311
40.02,0.114
12.09,0.121
14.1,2.35
23.84,0.132
8.95,0.224
13.74,0.155
11.76,0.147
15.23,0.221
18.29,0.123
7.03,0.064
13.76,0.031
11.15,0.319
24.84,0.142
47.09,0.065
18.8,0.235
11.73,0.189
12.67,0.169
17.63,0.353
16.51,0.142
18.23,0.796
8.18,0.097
31.99,0.018
15.13,0.275
40.65,0.141
22.12,0.375
9.44,0.343
15.3,0.194
15.7,0.115
44.45,0.593
15.23,0.762
12.53,0.084
9.6,0.274
18.69,0.163
25.63,1.72
34.0,0.382
29.84,0.23
32.61,0.038
27.84,0.348
21.08,0.528
31.2,0.156
16.46,0.139
9.44,0.105
11.85,0.297
18.52,0.309
16.18,0.27
36.82,0.175
12.73,0.108
3.6,0.151
24.03,0.076
27.56,0.333
20.89,0.086
21.1,0.141
16.58,0.191
9.52,0.06
38.7,0.235
12.43,0.178
15.1,0.308
7.81,0.1
27.4,0.145
28.64,0.462
11.85,0.41
146.3,0.488
18.32,0.572
17.06,0.685
19.28,0.115
20.0,0.408
19.48,0.464
13.04,0.13
13.44,0.336
45.12,0.303
7.39,0.185
19.56,0.373
14.85,0.135
7.39,0.296
43.6,0.256
15.69,0.205
19.73,0.282
7.74,0.347
14.1,0.283
23.15,0.464
37.19,0.101
13.32,0.051
17.56,0.09
7.44,0.298
18.25,0.83
15.7,0.225
22.03,0.1
71.53,0.189
47.39,0.158
18.58,0.098
37.11,0.1
17.67,0.294
15.1,0.309
26.88,0.149
25.91,0.288
28.75,0.576
13.54,0.08
9.06,0.074
19.53,0.244
58.75,0.246
19.44,0.029
18.97,0.077
25.33,0.362
12.79,0.266
14.52,0.323
18.29,0.022
15.05,0.11
43.54,0.27
7.46,0.257
18.23,0.829
17.1,0.715
9.45,0.053
9.49,0.09
7.78,0.156
39.31,0.219
14.1,0.393
10.96,0.577
19.43,0.557
8.72,0.175
14.52,0.291
98.7,0.342
20.9,0.171
19.75,0.247
24.84,0.623
16.11,0.821
15.23,0.402
15.1,0.397
24.79,0.019
15.1,1.079
11.85,0.263
44.27,0.447
20.63,0.104
28.1,0.026
13.08,0.187
12.19,0.122
28.35,0.205
1.37,0.046
0.0,0.0
28.82,0.481
26.86,0.199
9.51,0.096
17.45,0.097
15.28,0.064
17.16,0.286
15.31,0.192
18.0,0.095
11.73,0.25
18.28,0.698
12.4,0.124
17.67,0.295
15.63,0.261
16.46,0.165
14.1,0.313
17.92,0.187
27.17,0.302
16.14,0.299
12.9,0.161
21.44,0.071
16.53,0.15
7.87,0.927
10.96,1.231
14.43,0.144
19.45,0.089
12.51,0.067
66.35,0.302
16.95,0.424
22.4,0.642
14.18,0.118
17.67,0.295
15.23,0.224
15.1,0.432
18.09,0.242
15.1,0.398
9.34,0.26
18.26,0.338
24.84,0.715
27.15,0.454
7.78,0.391
18.06,0.157
16.34,0.196
15.1,1.51
17.45,0.233
15.17,0.258
19.43,0.162
7.39,0.287
9.44,0.105
46.36,0.057
20.96,0.1
15.77,0.108
13.99,0.141
12.97,0.173
40.46,0.578
7.39,0.151
19.18,0.077
18.24,0.351
8.88,0.163
22.06,0.738
24.81,0.121
18.71,0.144
12.04,0.1
7.42,0.093
14.23,0.082
17.62,0.327
7.49,0.083
16.18,0.27
37.15,1.064
22.45,0.08
7.39,0.151
19.59,0.393
24.42,0.091
14.1,0.283
65.1,0.283
51.33,0.344
13.08,0.443
11.9,0.119
9.31,0.059
9.77,0.09
15.23,0.847
22.19,0.278
56.19,0.097
13.92,0.174
11.85,0.423
15.33,0.189
14.5,0.039
28.72,0.016
19.93,0.201
25.13,0.013
9.44,0.21
22.98,0.153
14.3,0.11
21.6,0.374
12.79,0.328
114.42,0.163
4.74,0.158
17.6,0.44
8.64,0.288
30.85,0.088
34.57,0.315
20.82,0.11
53.74,1.077
24.04,0.027
15.38,0.171
24.86,0.239
15.79,0.607
17.86,0.206
23.48,0.182
15.28,0.201
2.34,0.038
37.87,0.224
7.46,0.257
16.75,0.105
12.48,0.089
14.11,0.947
18.66,0.233
27.54,0.5
3.48,0.319
38.04,0.544
16.12,0.082
33.57,0.21
15.69,0.136
15.1,0.303
8.72,0.349
11.73,0.809
13.71,0.293
14.46,0.181
20.4,1.074
11.85,0.396
17.04,0.015
27.18,0.217
7.39,0.2
10.22,0.035
39.04,2.603
16.54,0.041
15.61,0.127
9.34,0.243
17.3,0.115
26.78,0.268
15.1,1.258
14.23,0.155
14.11,0.059
81.83,0.205
20.8,0.95
36.75,0.817
16.81,0.209
7.47,0.25
22.9,0.389
18.49,0.142
23.2,0.407
16.6,0.437
7.78,0.195
15.1,0.302
26.54,0.147
19.5,0.098
37.03,0.074
14.13,0.236
18.81,0.032
17.69,0.099
20.56,0.109
14.08,0.471
19.41,0.628
14.1,0.288
34.94,0.947
12.53,0.218
27.38,0.228
38.82,0.277
23.2,0.078
18.63,0.311
8.27,0.428
16.16,0.284
18.97,0.095
15.1,0.893
7.94,0.094
21.96,0.137
43.58,0.068
18.73,0.155
16.05,0.698
15.1,0.456
13.02,0.081
16.11,1.007
11.91,0.202
7.78,0.311
21.18,0.424
17.39,0.075
7.39,0.616
16.58,0.064
14.52,0.393
15.01,0.083
2.36,0.017
19.93,0.189
8.35,0.054
27.57,0.23
15.1,0.687
26.13,0.141
48.07,0.537
8.72,0.301
16.22,0.246
9.09,0.26
151.34,0.032
20.74,0.209
16.46,0.165
17.6,0.631
16.86,0.281
15.35,0.181
12.87,0.429
11.85,0.242
16.56,0.064
19.37,0.34
16.6,0.425
16.32,0.181
16.51,0.144
7.46,0.267
16.11,0.323
15.1,0.95
61.58,0.514
84.39,0.703
17.3,0.217
16.02,0.063
19.04,0.443
15.13,0.379
7.78,0.412
17.6,0.535
19.26,0.326
13.72,0.137
31.67,0.792
18.71,0.058
13.97,0.064
15.23,0.508
16.11,0.351
15.61,0.127
49.5,0.356
18.23,0.608
25.28,0.195
14.11,0.186
13.65,0.152
7.58,0.168
20.84,0.348
20.81,0.198
31.88,0.399
13.25,0.156
8.82,0.768
7.39,0.189
19.54,0.109
15.1,0.839
17.66,0.322
18.8,0.188
22.97,0.097
15.1,0.433
22.67,0.568
12.48,0.391
18.74,0.051
58.06,0.048
11.85,0.458
19.23,0.418
18.23,0.372
19.19,0.124
7.46,0.257
7.78,0.223
14.9,0.176
20.74,1.097
59.64,0.038
15.56,0.389
11.85,0.79
17.06,0.092
19.32,0.395
8.88,0.496
7.39,0.2
12.79,0.582
11.76,0.149
13.25,0.133
14.1,0.566
13.37,0.268
19.94,0.199
15.1,0.505
21.66,0.034
7.87,0.492
10.07,0.031
18.23,0.365
36.29,0.046
7.66,0.383
27.21,0.21
16.5,0.066
14.1,0.362
23.11,0.42
14.66,0.113
88.55,0.594
17.12,0.088
22.94,0.441
12.12,0.136
11.85,0.847
15.59,0.13
15.04,0.073
14.1,0.595
15.15,0.266
18.33,0.244
25.38,1.692
17.98,0.171
20.75,0.519
21.5,0.652
15.1,0.302
18.38,0.459
15.17,0.253
11.76,0.071
19.95,0.444
14.05,0.21
14.05,0.142
17.6,0.139
14.1,0.946
35.73,0.093
18.99,0.047
16.97,0.299
7.79,0.261
15.1,0.893
43.13,0.335
12.79,0.512
12.6,0.471
29.99,0.079
15.1,0.39
12.06,0.081
7.78,0.159
16.95,0.17
12.79,0.888
17.78,0.234
13.33,0.143
15.38,0.171
15.79,0.316
21.06,0.224
37.04,5.291
12.35,0.309
15.11,0.053
22.64,0.156
11.73,0.161
14.56,0.52
15.94,0.106
41.08,0.419
9.59,0.08
14.08,0.353
7.71,0.258
13.65,0.152
15.79,1.06
15.38,0.171
12.48,0.735
11.98,0.174
14.1,0.488
18.07,0.259
9.35,0.122
17.32,0.294
14.1,0.353
15.52,0.194
22.27,0.109
15.56,0.311
13.65,0.152
17.8,0.143
39.65,0.132
16.18,0.272
4.48,0.075
33.63,0.116
14.1,0.627
13.3,0.108
16.13,0.163
24.85,0.323
8.27,0.131
16.17,0.21
18.23,0.832
7.71,0.514
15.61,0.127
12.8,0.64
12.23,0.117
40.06,0.572
18.98,0.345
17.98,0.305
13.37,0.267
9.31,0.117
15.23,0.436
13.67,0.173
58.82,0.152
18.89,0.632
17.21,0.157
43.49,0.073
15.23,0.221
11.24,0.125
15.24,0.224
19.04,0.957
11.15,0.203
21.54,0.144
7.58,0.168
8.88,0.197
13.46,0.25
12.48,0.261
34.15,0.899
13.37,0.334
8.72,0.8
17.38,0.151
18.02,0.113
21.03,0.111
20.52,0.065
23.17,0.273
13.66,0.148
26.66,0.103
19.48,0.464
37.49,0.187
15.22,0.331
21.05,0.263
17.6,0.477
9.34,0.467
8.72,0.177
17.6,0.441
11.73,0.202
15.1,0.551
14.38,0.16
14.15,0.248
104.51,0.026
7.39,0.309
22.06,1.697
15.1,0.432
53.62,0.233
8.13,0.109
12.3,0.095
14.0,0.14
50.85,1.274
27.38,0.178
19.32,0.678
8.82,0.802
22.06,0.632
16.05,0.535
16.07,0.298
21.56,0.058
11.85,0.425
17.87,0.203
20.67,0.026
12.22,0.084
18.23,0.608
31.36,0.448
15.98,0.127
14.19,0.053
21.24,0.112
18.34,0.526
11.74,0.153
19.36,0.147
12.48,0.208
24.06,0.134
15.83,0.288
42.76,1.072
18.23,0.531
11.85,0.264
22.27,0.109
57.42,0.614
14.76,0.102
15.79,0.564
39.58,0.153
15.62,0.126
11.85,0.313
49.41,0.494
11.95,0.184
33.7,0.08
20.9,0.035
16.25,0.232
49.54,0.165
15.1,0.387
7.78,0.556
13.47,0.123
17.63,0.882
15.74,0.112
53.75,0.269
34.63,0.179
15.15,0.266
14.06,0.095
16.25,0.232
7.39,0.603
27.08,0.971
13.44,0.224
14.66,0.062
15.1,0.521
11.85,0.359
14.1,0.705
13.71,0.138
26.7,0.303
7.87,0.178
14.88,0.093
7.65,0.139
12.81,0.582
13.49,0.202
17.16,0.286
16.75,0.105
7.87,0.884
17.92,0.459
27.55,0.172
7.78,0.156
18.28,0.265
13.62,0.34
18.99,0.517
19.01,0.317
17.06,0.569
15.81,0.032
23.24,0.245
12.55,0.084
27.5,0.25
16.61,0.277
13.87,0.169
17.67,0.295
12.97,0.144
22.9,0.076
15.1,3.02
20.87,0.38
15.23,0.609
15.18,0.253
9.94,0.137
14.52,0.377
25.67,0.467
14.1,0.705
10.21,0.049
16.99,0.283
25.14,0.075
19.8,0.568
7.39,0.206
16.94,0.101
15.14,0.076
12.69,0.318
13.85,0.364
15.23,0.527
14.52,0.416
11.17,0.14
19.38,0.162
36.69,0.432
12.93,0.283
12.79,0.32
15.23,0.851
11.74,0.261
24.18,0.135
12.27,0.112
14.08,0.3
14.52,0.291
7.78,0.46
15.55,0.24
17.78,0.251
7.78,0.311
23.28,0.466
17.89,0.076
7.78,0.2
23.5,0.261
16.11,0.42
18.23,0.651
11.85,0.394
53.54,0.315
14.05,0.142
7.44,0.292
27.14,0.226
16.39,0.151
53.66,0.024
13.58,0.17
15.44,0.315
20.81,0.178
16.2,0.149
8.44,0.212
37.33,0.622
18.26,0.126
16.99,0.123
17.63,0.882
12.25,0.114
18.21,0.052
31.51,0.292
20.24,0.311
15.15,0.266
16.79,0.526
7.39,0.74
16.6,0.416
8.17,0.328
33.15,0.095
22.98,0.878
13.72,0.137
14.1,0.472
19.89,0.087
18.35,0.131
28.81,0.488
28.89,0.289
18.45,0.368
19.72,0.263
14.66,0.109
16.53,0.207
17.06,0.488
13.2,0.148
18.23,0.521
18.89,0.541
14.15,0.248
18.23,1.841
19.66,0.077
22.52,0.196
19.37,0.091
24.84,1.308
35.67,0.743
35.83,0.124
18.64,0.094
19.63,0.401
35.45,0.061
26.57,0.38
13.91,0.297
18.0,0.095
18.15,0.141
7.87,0.282
17.38,0.125
28.94,0.376
33.08,0.334
8.3,0.055
15.1,0.378
11.32,0.113
15.37,0.22
19.59,0.059
16.46,0.165
13.5,0.458
7.78,0.141
16.49,0.159
16.45,0.093
35.86,0.345
15.1,0.759
16.75,0.105
18.2,0.052
14.86,0.135
18.23,0.494
23.13,0.297
17.37,0.193
45.09,0.501
17.87,0.201
12.13,0.135
12.09,0.095
9.75,0.082
14.0,0.047
40.59,0.226
17.94,0.181
7.39,0.371
15.43,0.206
20.08,0.167
9.42,0.099
16.11,0.375
19.32,0.477
12.91,0.077
12.62,0.181
8.98,0.1
29.86,0.125
21.8,0.041
19.66,0.328
11.74,0.235
13.23,0.288
13.64,0.073
11.66,0.118
9.72,0.075
17.96,0.321
7.78,0.229
15.1,1.135
14.37,0.103
7.64,0.069
14.06,0.134
14.33,0.168
14.16,0.171
16.14,0.082
16.74,0.076
24.05,0.219
8.29,0.488
12.05,0.154
15.88,0.099
13.85,0.355
16.79,0.56
17.99,0.3
8.29,0.414
13.72,0.137
24.43,0.091
58.76,0.456
20.24,0.135
18.23,0.608
20.08,0.029
23.39,0.276
25.18,0.168
18.26,0.126
34.15,1.105
15.99,0.202
15.38,0.385
19.99,0.137
25.89,0.042
16.33,0.176
19.68,0.178
11.73,0.168
8.89,0.447
13.72,0.137
18.35,0.05
19.37,0.298
18.32,0.248
7.65,0.139
45.09,0.501
19.25,0.343
24.7,0.398
21.87,0.038
8.72,0.203
11.39,0.104
13.77,0.041
16.15,0.291
17.14,0.172
13.64,0.318
27.53,0.411
12.23,0.307
11.74,0.471
38.38,0.427
25.96,0.124
15.51,0.142
13.8,0.209
17.84,0.089
23.67,0.183
8.93,0.256
22.59,0.075
14.24,0.204
15.56,0.135
5.23,0.131
16.81,0.14
15.1,0.438
11.32,0.263
15.17,0.253
23.55,0.271
18.21,0.202
18.43,0.528
1.34,0.034
13.71,0.328
16.11,0.806
25.63,0.884
18.23,0.832
18.23,0.608
16.25,0.232
9.34,0.215
26.1,0.104
7.78,0.199
8.88,0.141
16.74,0.12
7.57,0.173
17.92,0.366
9.27,0.138
21.76,0.12
18.93,0.161
16.11,0.81
20.72,0.138
26.93,0.481
16.2,0.056
26.01,0.059
17.16,0.288
19.49,0.144
15.1,0.759
14.93,0.05
12.14,0.122
23.79,0.037
27.93,0.14
23.38,0.205
8.72,0.153
22.06,1.698
8.33,0.419
11.85,0.269
10.96,0.459
21.99,0.222
0.0,0.0
15.1,0.606
13.51,0.193
7.98,0.05
26.43,0.116
12.13,0.135
18.31,0.612
12.79,0.512
7.78,0.864
40.99,0.128
15.1,0.689
15.1,0.759
17.62,0.14
11.62,0.024
13.85,0.355
29.1,0.243
13.48,0.899
37.04,0.926
7.43,0.298
19.6,0.038
36.6,0.092
19.47,0.016
9.11,0.067
21.94,0.14
19.22,0.12
11.85,0.25
17.87,0.201
16.79,0.685
15.15,0.263
7.78,0.278
22.8,0.024
38.73,0.229
15.1,1.307
14.56,0.066
27.55,0.085
40.69,0.529
13.98,0.245
13.08,0.174
12.47,0.069
15.1,0.444
17.6,0.352
11.85,0.321
17.0,0.213
19.82,0.661
7.78,0.371
50.77,0.394
7.82,0.098
10.96,0.459
25.63,0.641
18.92,0.162
7.39,0.155
11.85,0.418
9.99,0.312
13.58,0.17
31.88,0.184
16.05,0.459
7.39,0.411
22.74,0.379
26.23,0.132
15.1,0.744
23.38,0.195
16.38,0.278
18.23,0.61
15.63,0.124
0.0,0.0
17.37,0.248
13.37,0.301
13.44,0.224
54.48,0.474
16.46,0.165
18.31,0.176
8.27,0.296
12.69,0.26
8.27,0.244
26.27,0.128
14.46,0.145
7.94,0.347
17.6,0.352
26.26,0.188
19.83,0.236
15.01,0.075
14.1,0.353
17.67,0.295
13.41,0.274
18.23,0.405
27.49,0.231
7.75,0.111
11.62,0.111
7.39,0.11
13.91,0.073
38.52,0.643
18.23,0.47
12.79,0.514
37.04,0.742
12.65,0.169
19.12,0.308
16.79,0.648
24.41,0.111
11.73,0.318
26.61,0.887
17.89,0.128
23.35,0.212
28.89,0.431
16.86,0.056
13.37,0.372
13.88,0.1
15.93,0.228
9.34,0.17
14.1,0.855
17.67,0.361
11.85,0.846
12.6,0.258
12.65,0.169
19.68,0.282
22.07,1.109
18.13,0.145
15.16,0.263
15.1,1.102
12.72,0.236
11.83,0.132
26.54,1.57
12.69,0.344
8.82,0.294
3.64,0.022
17.67,0.295
45.71,0.255
11.1,0.159
12.55,0.083
306.06,0.113
8.72,0.251
19.38,0.069
15.15,0.266
9.34,0.161
22.06,1.459
11.85,0.484
7.39,0.354
21.43,0.477
14.11,0.743
17.63,0.36
27.44,0.323
23.59,0.157
18.23,1.415
25.68,0.451
17.06,0.244
18.74,0.535
23.8,0.256
7.87,0.238
15.1,0.799
15.23,0.847
49.91,0.263
6.12,0.133
10.0,0.345
19.5,0.217
17.65,0.136
7.87,0.136
7.39,0.465
32.07,0.401
51.99,0.145
24.67,0.368
16.95,0.1
21.64,0.18
11.54,0.175
18.17,0.139
19.74,0.166
13.37,0.443
15.1,0.431
19.46,0.278
11.87,0.224
18.33,0.556
17.63,0.678
18.99,0.179
27.31,0.105
18.21,0.203
23.52,0.174
17.02,0.205
18.28,0.706
22.38,0.236
31.09,0.045
18.96,0.079
18.23,0.486
20.99,0.162
7.78,0.3
24.36,0.229
18.3,0.306
19.23,0.142
16.11,0.778
18.31,0.611
9.02,0.231
12.48,0.627
18.06,0.156
21.08,0.248
15.1,0.759
45.02,0.563
8.72,0.174
13.46,0.092
8.88,0.254
14.36,0.045
53.89,0.245
17.69,0.119
23.11,0.356
13.08,0.238
37.64,0.164
14.1,0.353
17.6,0.4
11.85,0.423
7.55,0.303
9.58,0.24
26.77,0.108
10.01,0.056
24.9,0.677
14.94,0.088
8.27,0.361
18.5,0.103
17.02,0.052
18.26,0.127
15.39,0.168
14.11,0.393
12.79,0.621
7.88,0.08
11.85,0.339
8.91,0.111
35.62,0.137
22.06,0.566
17.94,0.122
16.01,0.089
7.78,0.12
25.67,0.199
25.67,0.467
29.2,0.258
29.59,0.174
8.83,0.442
11.62,0.135
14.0,0.049
19.32,0.575
7.39,0.123
0.0,0.0
11.55,0.025
16.44,0.47
15.58,0.132
8.63,0.07
22.27,0.465
17.63,1.439
19.75,0.094
48.27,0.194
11.85,0.659
18.52,0.309
9.97,0.083
15.23,0.311
12.77,0.14
19.33,0.375
27.13,0.319
23.75,0.176
18.14,0.143
11.86,0.108
69.21,0.277
18.38,0.465
10.07,0.031
16.36,0.156
15.87,0.099
22.28,0.452
23.88,0.086
15.1,0.347
19.04,0.382
39.51,0.444
8.21,0.061
18.33,0.282
10.64,0.161
13.48,0.193
31.68,0.161
7.78,0.156
23.0,0.384
14.64,0.098
26.78,1.526
17.39,0.134
16.93,0.055
22.17,0.117
11.15,0.16
7.87,0.213
20.41,0.136
16.52,0.107
38.39,0.32
20.84,0.565
17.47,0.162
23.36,0.781
14.61,0.119
15.19,0.242
2.14,0.107
16.88,0.172
15.1,0.409
51.04,1.134
12.79,0.757
7.49,0.228
16.12,0.317
18.23,0.406
25.63,0.523
15.88,0.144
15.1,0.398
45.67,0.176
24.59,0.063
11.73,0.156
18.59,0.266
15.56,0.578
9.18,0.032
27.16,0.227
16.04,0.087
44.04,0.116
17.88,0.199
20.9,0.327
14.68,0.201
16.32,0.363
34.15,0.854
15.7,0.393
15.58,0.131
29.28,0.184
16.11,0.414
14.49,0.114
15.49,0.674
19.47,0.488
8.72,0.194
10.25,0.076
15.38,0.171
12.45,0.096
12.55,0.084
17.67,0.295
29.19,0.258
16.11,0.42
13.41,0.395
19.39,0.324
20.8,1.396
7.46,0.267
15.1,0.392
14.52,0.427
14.52,0.855
46.6,0.667
22.06,0.46
12.48,0.838
0.09,0.001
15.1,0.378
71.78,0.718
7.78,0.195
11.76,0.147
17.67,0.295
193.28,0.284
31.44,0.031
132.28,0.529
37.3,0.623
17.62,0.333
15.0,0.115
7.39,0.246
27.48,0.306
19.5,0.217
8.5,0.945
12.79,0.268
9.51,0.096
21.88,0.161
28.15,0.249
14.1,0.462
15.23,0.612
16.07,0.179
14.24,0.204
13.7,0.069
10.09,0.288
38.39,0.322
15.23,0.695
89.94,0.353
20.19,0.038
11.25,0.125
14.1,0.94
19.96,0.102
25.47,0.285
13.7,0.076
61.44,0.615
17.64,0.089
7.39,0.528
27.75,0.414
16.11,0.347
16.35,0.071
23.94,0.303
17.83,0.215
18.19,0.135
22.51,0.352
15.13,0.506
15.56,0.409
28.97,1.212
18.48,0.337
16.79,0.562
15.23,0.401
15.56,0.426
7.39,0.247
11.88,0.17
16.39,0.182
19.32,1.498
16.39,0.07
178.11,0.15
16.11,0.557
8.72,0.323
12.83,0.537
12.28,0.051
21.19,0.385
12.82,0.064
12.55,0.084
42.03,0.28
12.54,0.105
15.23,0.597
11.34,0.109
19.82,0.22
18.41,0.028
37.97,0.634
8.72,0.224
16.28,0.074
21.15,0.424
14.14,0.118
23.03,0.698
18.23,0.57
27.73,0.194
15.45,0.155
19.66,0.328
14.28,0.143
43.07,1.063
19.39,0.324
60.74,0.235
16.25,0.354
14.59,0.122
44.86,0.128
7.78,0.556
15.72,0.08
21.22,0.193
11.85,0.595
9.09,0.304
8.82,0.295
24.15,0.028
12.43,0.377
15.79,0.877
7.61,0.153
14.52,0.859
18.65,0.093
19.12,0.102
21.15,0.661
11.55,0.154
14.39,0.152
21.15,0.53
16.4,0.149
75.12,0.268
30.56,0.218
21.19,0.212
15.95,0.094
9.09,0.182
12.79,0.991
14.52,0.296
18.15,0.141
38.97,0.39
7.64,0.069
14.31,0.103
19.39,0.323
17.92,0.256
9.5,0.04
19.46,0.507
14.17,0.237
18.33,0.068
12.43,0.178
15.1,0.893
3.03,0.051
25.68,0.451
14.16,0.062
15.11,0.379
20.6,0.392
16.6,0.634
15.1,0.392
11.85,0.37
10.96,0.696
12.65,0.253
19.29,0.096
44.48,0.495
18.68,0.092
10.96,0.365
13.49,0.104
12.92,0.187
22.06,0.552
25.18,0.168
12.72,0.236
10.57,0.033
15.1,0.561
25.73,0.396
13.58,0.17
23.91,0.251
16.79,0.42
33.97,0.34
13.28,0.111
22.94,0.441
15.56,0.629
20.83,0.025
7.51,0.215
18.3,0.127
34.15,1.139
15.47,0.106
21.89,0.11
11.85,0.662
8.11,0.427
28.39,0.569
25.63,1.356
26.69,0.014
16.18,0.205
17.63,0.494
25.12,0.14
16.53,0.15
22.96,0.258
14.31,0.179
12.8,0.643
8.27,0.179
15.29,0.259
16.94,0.173
14.72,0.249
12.79,0.643
16.11,0.81
9.11,0.152
16.47,0.412
13.71,0.286
12.89,0.065
16.11,0.358
15.1,0.755
16.4,0.149
14.08,0.469
7.39,0.206
18.97,0.349
19.99,0.029
13.86,0.188
23.78,0.17
37.71,0.344
23.81,0.135
18.46,0.173
15.1,0.382
17.01,0.096
17.28,0.144
14.52,0.583
35.82,0.144
15.2,0.234
13.0,0.217
19.59,0.504
8.29,0.535
40.24,0.14
12.74,0.224
15.1,0.505
9.27,0.647
18.23,0.832
17.35,0.29
18.21,0.202
32.15,0.201
21.71,0.109
38.81,0.216
17.88,0.275
41.02,0.279
44.49,0.178
15.25,0.693
8.29,0.296
18.1,0.148
21.15,1.64
15.81,0.105
15.8,0.105
13.4,0.249
8.72,0.8
15.1,0.378
16.53,0.129
17.32,0.109
13.37,0.285
80.49,0.336
23.28,0.233
15.1,0.308
23.27,0.411
15.86,0.171
18.52,0.309
13.07,0.125
99.65,1.12
13.47,0.208
31.13,0.45
16.12,0.311
8.03,0.073
13.8,0.447
12.65,0.276
48.27,0.026
7.39,0.556
20.42,0.296
14.1,0.947
18.23,0.747
16.25,0.232
30.46,1.05
22.27,0.454
11.85,0.627
14.1,0.595
11.52,0.021
18.73,0.288
17.55,0.146
16.22,0.246
17.09,0.766
69.71,0.586
13.71,0.319
15.1,0.352
16.11,0.43
38.46,0.296
11.18,0.14
17.13,0.593
13.64,0.153
23.23,0.375
9.78,0.071
21.95,0.176
15.23,1.172
14.36,0.16
21.12,0.235
15.65,0.201
20.59,0.103
29.26,0.296
23.4,0.351
14.1,0.641
39.56,0.44
48.28,0.402
47.53,0.332
27.68,0.213
20.99,0.073
18.5,0.106
11.85,1.331
18.27,0.762
15.63,0.261
13.65,0.274
145.18,0.191
11.88,0.17
18.23,0.832
20.19,0.073
28.49,0.13
16.49,0.157
15.1,0.302
27.88,0.242
9.27,0.294
7.39,1.057
8.29,0.347
16.11,0.359
20.92,0.075
1.7,0.019
37.11,1.28
39.65,0.18
18.53,0.199
21.64,0.091
15.1,0.606
12.87,0.429
15.18,0.253
12.79,0.731
25.49,0.19
13.08,0.174
13.44,0.274
13.41,0.125
0.0,0.0
7.68,0.257
33.4,0.209
38.22,0.175
18.26,0.184
15.26,0.283
11.73,0.235
17.36,0.138
13.65,0.248
30.11,0.245
8.72,0.153
19.05,0.074
7.78,0.389
17.99,0.101
11.85,0.237
15.23,0.609
11.15,0.157
18.23,0.916
8.29,0.106
14.52,0.292
16.25,0.232
27.79,0.077
17.26,0.119
15.44,0.086
12.68,0.076
12.79,0.256
15.1,0.378
41.02,0.295
18.23,2.805
11.79,0.035
33.31,0.222
14.72,0.164
13.18,0.148
20.85,0.044
23.0,0.38
16.32,0.363
38.14,0.449
14.9,0.176
12.48,0.627
18.23,0.406
11.83,0.132
9.34,0.249
13.64,0.273
19.68,0.281
50.93,1.698
16.6,0.426
7.78,0.278
18.38,0.037
23.56,0.133
15.65,0.824
16.05,0.944
16.05,1.237
17.74,0.255
14.83,0.2
11.85,0.296
16.28,0.096
18.26,0.126
16.11,0.577
21.71,0.043
16.39,0.089
24.98,0.357
15.62,0.125
16.45,0.025
14.1,0.488
12.25,0.114
20.44,0.12
18.23,0.529
13.44,0.224
37.8,0.238
17.79,0.119
16.01,0.089
27.0,0.27
15.1,0.722
8.99,0.258
16.6,0.416
17.35,0.134
18.26,0.126
15.37,0.22
14.55,0.066
12.53,0.381
18.86,0.135
19.39,0.09
19.64,0.076
18.59,0.182
23.14,0.29
17.67,0.295
18.4,0.245
12.83,0.233
25.63,1.046
15.1,0.512
0.0,0.0
39.06,0.103
18.23,0.651
13.77,0.042
12.74,0.071
11.85,0.484
18.59,0.266
108.74,0.115
8.72,0.415
16.03,0.088
15.5,0.174
21.15,0.53
15.1,1.171
12.43,0.178
18.28,0.698
42.45,0.709
12.33,0.021
15.17,0.253
12.48,0.627
23.74,0.164
16.59,0.186
0.0,0.0
66.42,0.289
18.68,0.297
10.96,0.921
9.34,0.203
24.78,0.124
11.15,0.155
25.26,0.422
20.9,0.037
9.54,0.056
17.45,0.12
12.48,0.627
62.89,0.351
10.37,0.05
16.11,0.948
13.5,0.59
12.79,0.937
15.8,0.16
