freight_value,price,distance_km,weight_kg,volume_cm3,freight_ratio,category,customer_state
14.52,15.9,171.9,0.1,8000.0,0.91,telephony,MG
18.92,135.0,444.61,1.85,12000.0,0.14,bed_bath_table,MG
14.09,153.0,209.17,1.85,23625.0,0.09,bed_bath_table,SP
20.99,114.9,306.69,1.3,9000.0,0.18,bed_bath_table,SP
8.72,56.99,15.44,0.38,3927.0,0.15,perfumery,SP
48.98,349.9,2672.79,1.3,1040.0,0.14,auto,PE
13.08,71.0,90.87,2.85,27000.0,0.18,housewares,SP
19.89,257.9,301.33,5.75,34225.0,0.08,perfumery,SP
9.26,54.9,21.79,1.25,12320.0,0.17,housewares,MG
11.91,57.99,311.06,0.2,5712.0,0.2,pet_shop,SP
15.1,17.5,549.93,0.25,4800.0,0.86,bed_bath_table,MG
7.78,44.9,25.3,0.2,1232.0,0.17,toys,SP
27.73,44.99,1534.45,6.27,51840.0,0.62,furniture_decor,MT
11.85,18.9,136.65,0.14,1872.0,0.63,computers_accessories,SP
13.59,299.0,352.69,8.5,25200.0,0.04,bed_bath_table,SP
191.11,210.99,1138.87,23.95,144400.0,0.91,signaling_and_security,RS
13.69,95.0,364.3,1.4,3168.0,0.14,computers_accessories,SP
15.98,50.25,303.17,2.05,6916.0,0.32,housewares,SP
24.94,89.99,125.32,1.6,61050.0,0.28,luggage_accessories,SP
11.81,250.0,300.41,3.78,24024.0,0.05,bed_bath_table,SP
16.79,32.9,397.82,0.3,8000.0,0.51,housewares,MG
11.85,37.49,627.99,0.2,3640.0,0.32,sports_leisure,SP
15.32,79.9,352.79,0.9,8448.0,0.19,home_construction,SP
37.32,279.99,2455.2,2.9,25872.0,0.13,sports_leisure,PA
7.78,23.8,101.26,0.2,576.0,0.33,unknown,SP
19.95,100.79,1133.78,5.55,40500.0,0.2,stationery,BA
15.31,79.9,691.57,0.2,2805.0,0.19,sports_leisure,RS
18.23,49.9,419.04,0.1,8000.0,0.36,perfumery,SP
11.85,49.95,307.4,0.4,4275.0,0.24,bed_bath_table,SP
57.32,119.99,231.16,6.55,8000.0,0.48,computers_accessories,SP
24.96,58.99,1739.23,0.2,3960.0,0.42,health_beauty,SE
20.05,79.9,350.71,1.84,8784.0,0.25,electronics,RJ
15.83,154.99,462.36,0.5,6720.0,0.1,electronics,RJ
16.48,229.0,767.55,0.35,2254.0,0.07,garden_tools,SP
18.98,157.0,547.77,0.4,3024.0,0.12,cool_stuff,RJ
74.51,1561.0,1399.1,14.4,29700.0,0.05,home_appliances_2,RS
17.16,129.99,355.66,1.2,26400.0,0.13,luggage_accessories,SP
32.8,44.9,1207.73,2.7,5250.0,0.73,furniture_decor,RS
8.72,30.0,40.23,0.55,4500.0,0.29,auto,SP
18.59,40.0,826.69,1.1,7200.0,0.46,bed_bath_table,MG
18.56,140.91,627.96,0.89,11856.0,0.13,construction_tools_construction,GO
32.0,95.9,479.6,4.1,3900.0,0.33,electronics,MG
16.5,249.9,874.09,0.5,1936.0,0.07,watches_gifts,RS
60.14,129.95,603.84,9.95,59488.0,0.46,home_construction,MG
15.57,199.9,475.53,0.42,1344.0,0.08,watches_gifts,MG
20.72,95.0,2133.24,0.6,2184.0,0.22,garden_tools,PE
14.55,79.99,110.16,11.88,81000.0,0.18,office_furniture,SP
5.31,25.99,66.2,0.15,2052.0,0.2,baby,SP
38.57,149.99,1132.7,7.65,60000.0,0.26,home_appliances,MT
16.14,54.9,489.39,0.35,13920.0,0.29,health_beauty,RJ
19.74,119.0,1520.33,6.55,8000.0,0.17,computers_accessories,BA
15.83,135.0,366.17,0.35,1547.0,0.12,computers_accessories,SP
37.11,29.0,1731.87,0.25,352.0,1.28,watches_gifts,PA
20.72,250.0,722.39,0.55,8000.0,0.08,sports_leisure,DF
15.11,35.9,394.28,0.4,36000.0,0.42,cool_stuff,SP
87.77,169.0,786.58,10.7,64449.0,0.52,furniture_bedroom,MG
22.16,64.89,850.06,0.35,5984.0,0.34,computers_accessories,RJ
19.32,49.9,1073.39,0.6,4913.0,0.39,furniture_decor,ES
15.01,179.9,797.74,0.45,2760.0,0.08,perfumery,DF
16.15,55.9,580.5,0.6,2400.0,0.29,sports_leisure,MG
19.54,49.9,650.05,0.95,4356.0,0.39,bed_bath_table,SC
13.62,72.0,353.25,0.15,2912.0,0.19,computers_accessories,PR
53.5,239.9,1070.74,6.5,62525.0,0.22,toys,BA
26.1,69.0,262.7,13.9,64000.0,0.38,auto,MG
13.85,39.0,280.06,0.55,1710.0,0.36,bed_bath_table,SP
24.84,19.9,2061.72,0.2,1584.0,1.25,fashion_bags_accessories,PA
21.13,309.0,321.33,1.6,15000.0,0.07,computers_accessories,RJ
7.78,49.99,3.19,0.1,836.0,0.16,telephony,SP
17.92,95.99,586.9,2.1,59520.0,0.19,cool_stuff,SP
16.93,51.9,676.0,0.9,7452.0,0.33,sports_leisure,RJ
12.76,60.0,299.76,0.8,3125.0,0.21,bed_bath_table,SP
8.72,79.9,18.28,0.4,4096.0,0.11,health_beauty,SP
18.93,193.0,528.74,1.1,9350.0,0.1,small_appliances,RS
17.06,19.9,887.31,0.09,2448.0,0.86,perfumery,SP
20.8,10.0,1337.49,0.1,650.0,2.08,health_beauty,MG
13.64,89.0,49.81,6.1,34800.0,0.15,stationery,SP
13.42,139.8,196.79,0.6,10143.0,0.1,watches_gifts,SP
17.67,59.9,392.63,1.85,32560.0,0.3,garden_tools,PR
15.1,45.36,815.92,1.11,3762.0,0.33,health_beauty,GO
15.1,18.9,419.94,0.25,3861.0,0.8,computers_accessories,MG
17.22,69.0,515.59,7.0,36000.0,0.25,stationery,MG
27.71,199.0,451.0,4.75,27816.0,0.14,housewares,MG
13.89,79.0,296.5,0.25,1680.0,0.18,consoles_games,PR
16.6,120.0,881.19,0.97,21840.0,0.14,pet_shop,RS
17.05,86.6,744.71,0.17,2808.0,0.2,computers_accessories,MG
21.19,99.99,540.54,1.75,15000.0,0.21,bed_bath_table,MG
63.49,209.9,1799.71,1.95,13500.0,0.3,sports_leisure,SE
37.17,109.9,422.38,16.1,100100.0,0.34,luggage_accessories,RJ
19.19,199.0,354.81,2.35,29568.0,0.1,pet_shop,SP
17.47,89.9,1028.12,1.4,9600.0,0.19,sports_leisure,RS
13.07,58.0,104.81,0.2,352.0,0.22,watches_gifts,SP
14.52,18.0,441.46,0.2,2400.0,0.81,baby,RS
14.55,35.9,220.08,0.25,4080.0,0.4,sports_leisure,PR
8.29,69.99,18.61,0.9,7182.0,0.12,housewares,SP
53.26,730.0,333.5,12.65,70304.0,0.07,computers,RJ
11.15,48.0,3.62,0.2,29791.0,0.23,kitchen_dining_laundry_garden_furniture,SP
14.52,25.9,582.23,0.45,4800.0,0.56,bed_bath_table,RJ
15.72,151.0,673.18,0.2,2805.0,0.1,health_beauty,SC
9.37,79.99,20.93,0.55,5040.0,0.12,perfumery,SP
7.78,64.9,15.82,1.4,29785.0,0.12,bed_bath_table,SP
15.1,47.6,566.8,0.8,23625.0,0.32,bed_bath_table,RJ
19.62,53.9,1453.39,1.5,19800.0,0.36,garden_tools,BA
22.58,48.0,1715.85,0.3,4096.0,0.47,construction_tools_construction,BA
19.28,199.0,76.9,4.75,27816.0,0.1,housewares,SP
12.94,27.9,455.2,0.15,2873.0,0.46,food,MG
7.87,27.9,73.94,0.15,2873.0,0.28,food,SP
17.92,41.49,1376.06,0.6,6300.0,0.43,food,MT
38.82,586.0,468.97,6.7,12800.0,0.07,sports_leisure,PR
8.99,89.0,5.79,0.95,640.0,0.1,watches_gifts,SP
38.36,119.6,1135.7,2.6,70200.0,0.32,office_furniture,BA
15.29,76.49,348.41,0.4,6750.0,0.2,sports_leisure,PR
12.79,37.0,139.93,1.3,12500.0,0.35,bed_bath_table,SP
15.4,72.0,612.25,1.35,4160.0,0.21,housewares,DF
26.13,121.99,2124.72,0.18,1020.0,0.21,consoles_games,PE
13.63,87.85,311.62,1.5,13720.0,0.16,bed_bath_table,SP
16.11,29.5,471.47,0.35,15075.0,0.55,sports_leisure,SP
28.68,58.5,6.11,12.85,80934.0,0.49,agro_industry_and_commerce,SP
13.83,199.9,175.36,2.5,11808.0,0.07,bed_bath_table,SP
9.27,14.33,74.62,0.27,1584.0,0.65,sports_leisure,SP
9.04,49.9,73.9,0.45,2340.0,0.18,toys,SP
34.38,120.0,1036.92,3.5,18900.0,0.29,health_beauty,MG
19.44,35.0,430.13,0.95,14000.0,0.56,furniture_decor,MG
16.21,64.9,555.2,0.9,13600.0,0.25,furniture_decor,MG
9.68,159.0,4.09,0.28,4224.0,0.06,watches_gifts,MG
13.59,67.0,240.68,0.3,4200.0,0.2,computers_accessories,MG
14.52,23.9,579.29,0.22,6300.0,0.61,health_beauty,RJ
14.1,19.9,557.4,0.8,1584.0,0.71,fashion_bags_accessories,DF
9.02,179.49,25.35,0.6,6048.0,0.05,auto,SP
17.06,48.9,277.32,1.25,3840.0,0.35,health_beauty,SP
44.55,269.0,1081.53,7.55,32760.0,0.17,furniture_decor,ES
11.73,72.0,10.13,1.0,18750.0,0.16,housewares,SP
14.1,29.0,514.0,0.25,352.0,0.49,watches_gifts,MG
33.89,44.9,704.33,2.4,50400.0,0.76,drinks,RS
11.85,48.8,203.77,0.65,5880.0,0.24,furniture_decor,SP
14.1,40.0,358.05,0.5,24000.0,0.35,cool_stuff,RJ
7.78,49.0,21.0,0.4,640.0,0.16,watches_gifts,SP
12.48,12.9,571.21,0.1,1540.0,0.97,electronics,SP
16.6,43.9,773.61,2.0,47040.0,0.38,housewares,DF
15.26,53.89,341.33,0.16,1768.0,0.28,consoles_games,SP
18.34,34.9,862.29,0.15,1200.0,0.53,baby,SP
8.75,58.0,55.8,0.42,7392.0,0.15,toys,RJ
13.67,29.99,422.03,0.15,1904.0,0.46,telephony,MG
13.37,26.26,136.5,1.4,15680.0,0.51,toys,SP
8.97,19.9,229.78,0.3,18375.0,0.45,furniture_decor,SP
8.42,119.3,69.19,0.39,3876.0,0.07,health_beauty,MG
25.63,49.95,1099.25,0.1,576.0,0.51,electronics,MT
16.35,130.0,827.59,0.17,1840.0,0.13,telephony,MG
11.85,21.9,285.19,0.15,2800.0,0.54,electronics,SP
10.96,10.99,48.59,0.1,704.0,1.0,telephony,SP
12.86,27.99,395.15,0.3,816.0,0.46,telephony,SP
15.38,89.99,491.04,0.3,40000.0,0.17,sports_leisure,PR
30.88,209.99,2703.67,2.1,15750.0,0.15,cool_stuff,AM
13.97,89.9,436.94,0.15,2772.0,0.16,computers_accessories,SP
13.21,110.32,369.01,0.2,990.0,0.12,health_beauty,SP
13.08,54.9,30.76,2.05,20000.0,0.24,bed_bath_table,SP
20.25,34.9,540.14,0.2,1584.0,0.58,fashion_bags_accessories,SP
13.65,89.9,142.87,1.35,3080.0,0.15,bed_bath_table,SP
17.92,29.9,724.28,0.63,4160.0,0.6,auto,SP
11.85,49.9,150.28,1.8,5780.0,0.24,cool_stuff,SP
7.53,38.99,65.42,0.25,3840.0,0.19,auto,SP
15.23,29.98,741.92,0.25,1547.0,0.51,telephony,ES
19.08,55.0,2141.42,0.25,352.0,0.35,watches_gifts,PE
7.47,29.9,89.28,0.15,1056.0,0.25,construction_tools_construction,SP
19.99,106.5,890.23,1.36,62016.0,0.19,bed_bath_table,BA
12.43,69.9,17.92,2.6,15000.0,0.18,furniture_decor,SP
15.86,107.99,365.15,0.16,2520.0,0.15,pet_shop,SP
31.57,99.9,1198.16,2.6,13824.0,0.32,health_beauty,MT
15.86,159.0,414.92,2.15,23625.0,0.1,bed_bath_table,PR
9.34,29.9,26.12,0.85,2448.0,0.31,computers_accessories,SP
11.85,45.0,517.42,0.25,1980.0,0.26,fashion_bags_accessories,SP
15.23,12.0,352.92,0.07,3570.0,1.27,health_beauty,SP
17.67,59.9,905.73,5.6,14664.0,0.3,auto,ES
11.73,58.99,12.44,0.2,3960.0,0.2,health_beauty,SP
11.85,37.9,458.85,0.21,4340.0,0.31,health_beauty,SP
15.1,29.99,649.98,0.3,816.0,0.5,telephony,SC
21.13,122.99,1186.92,0.7,5700.0,0.17,health_beauty,PE
15.1,37.95,431.86,0.55,7803.0,0.4,home_construction,RJ
24.61,37.0,1607.29,0.3,3648.0,0.66,sports_leisure,PE
25.63,49.9,2332.98,0.2,1232.0,0.51,toys,PA
13.64,172.1,291.19,0.45,23625.0,0.08,bed_bath_table,SP
8.88,59.0,12.35,0.35,12000.0,0.15,stationery,SP
26.06,229.9,2116.97,2.46,11872.0,0.11,sports_leisure,PE
21.78,100.0,514.97,2.55,39900.0,0.22,health_beauty,MG
23.5,169.0,339.97,6.65,51894.0,0.14,sports_leisure,RJ
14.1,10.99,501.09,0.45,4080.0,1.28,toys,MG
7.78,12.98,29.04,0.28,864.0,0.6,telephony,SP
126.91,299.0,405.13,20.1,137677.0,0.42,auto,PR
17.94,99.0,571.17,1.55,20944.0,0.18,bed_bath_table,GO
12.83,70.0,305.87,0.85,20250.0,0.18,bed_bath_table,SP
15.1,16.5,767.82,0.35,836.0,0.92,telephony,ES
23.88,185.9,641.73,1.3,5000.0,0.13,construction_tools_construction,SC
15.28,59.99,12.81,4.6,14400.0,0.26,furniture_living_room,SP
12.83,80.0,340.76,1.6,20250.0,0.16,bed_bath_table,SP
18.55,399.0,441.28,0.7,3888.0,0.05,consoles_games,SC
27.29,141.0,371.43,2.15,6624.0,0.19,electronics,RJ
23.14,79.99,630.15,0.65,4125.0,0.29,computers_accessories,MG
15.43,174.97,4.82,2.3,38324.0,0.09,housewares,RS
14.86,98.9,643.14,0.3,1428.0,0.15,health_beauty,SC
18.93,119.0,611.69,0.58,2288.0,0.16,watches_gifts,GO
10.98,319.0,38.16,0.3,4096.0,0.03,consoles_games,SP
12.75,179.0,334.48,0.46,5600.0,0.07,perfumery,SP
11.85,29.9,306.47,0.3,2880.0,0.4,baby,SP
14.43,99.99,482.64,3.48,33696.0,0.14,computers_accessories,SP
27.37,59.8,617.2,0.9,6496.0,0.46,auto,MT
17.76,167.99,79.04,0.95,3445.0,0.11,housewares,SC
8.66,142.9,429.74,0.3,8000.0,0.06,construction_tools_safety,GO
16.81,149.89,327.38,1.24,15504.0,0.11,computers_accessories,RJ
13.88,74.9,173.49,0.85,14440.0,0.18,bed_bath_table,SP
40.33,199.9,848.4,8.1,72000.0,0.2,sports_leisure,RS
16.25,213.9,675.41,0.26,2652.0,0.08,watches_gifts,PR
7.46,27.99,96.69,0.3,816.0,0.27,telephony,SP
19.49,229.9,479.92,0.18,6336.0,0.08,health_beauty,SP
27.25,73.9,746.91,1.35,7429.0,0.37,bed_bath_table,RJ
12.85,26.9,370.66,0.75,19250.0,0.48,home_appliances,SP
21.45,279.99,358.16,2.75,41496.0,0.08,toys,SP
15.1,19.9,591.7,0.05,2816.0,0.76,health_beauty,SP
13.16,179.9,15.02,3.68,21120.0,0.07,bed_bath_table,SP
18.72,84.44,752.46,1.98,16744.0,0.22,bed_bath_table,MG
18.05,265.0,477.77,11.4,38475.0,0.07,housewares,MG
14.58,59.0,664.18,0.13,1560.0,0.25,telephony,PR
14.11,155.99,503.43,0.48,4560.0,0.09,perfumery,SP
20.43,99.95,1463.4,1.95,13500.0,0.2,cine_photo,BA
15.3,29.0,506.89,0.25,640.0,0.53,watches_gifts,MG
8.29,64.99,30.47,0.25,2016.0,0.13,housewares,SP
23.06,68.31,507.23,0.5,8000.0,0.34,furniture_decor,RJ
35.67,45.0,2284.02,0.3,9000.0,0.79,housewares,RN
24.7,39.9,545.84,1.15,8400.0,0.62,furniture_decor,MG
7.71,39.9,1.12,0.1,1920.0,0.19,computers_accessories,MG
16.63,94.9,414.34,0.75,9912.0,0.18,sports_leisure,CE
13.08,39.9,6.75,1.88,77400.0,0.33,housewares,SP
18.23,50.0,447.86,0.4,24000.0,0.36,auto,SC
8.11,19.99,148.76,0.2,6555.0,0.41,consoles_games,SP
8.27,15.9,73.17,0.22,2944.0,0.52,bed_bath_table,SP
8.29,12.51,8.59,0.52,5819.0,0.66,construction_tools_lights,SP
11.42,29.99,436.2,0.15,1904.0,0.38,telephony,RJ
27.59,150.0,1962.09,0.8,42000.0,0.18,electronics,CE
27.17,155.99,574.01,2.3,18144.0,0.17,bed_bath_table,RJ
8.72,29.99,5.3,0.5,6615.0,0.29,furniture_decor,SP
30.13,69.8,317.53,1.3,16170.0,0.43,furniture_decor,SP
16.06,249.9,111.34,1.45,6000.0,0.06,construction_tools_construction,SP
14.52,16.9,482.62,0.3,1428.0,0.86,garden_tools,SC
12.69,36.0,391.19,1.1,9600.0,0.35,sports_leisure,SP
12.27,109.9,307.12,1.98,16523.0,0.11,bed_bath_table,SP
18.27,55.0,593.05,0.25,640.0,0.33,watches_gifts,ES
25.04,389.0,355.51,9.05,125000.0,0.06,musical_instruments,RJ
23.57,109.9,916.2,1.6,4500.0,0.21,bed_bath_table,RS
7.78,29.99,9.67,0.3,816.0,0.26,telephony,SP
38.25,99.9,766.19,1.15,5544.0,0.38,health_beauty,GO
7.78,49.77,29.97,0.1,2112.0,0.16,unknown,SP
16.79,35.0,1263.09,0.1,8000.0,0.48,toys,BA
17.6,49.0,601.91,0.45,12000.0,0.36,stationery,MG
16.26,89.9,130.54,1.25,13500.0,0.18,sports_leisure,SP
24.13,179.9,1619.76,2.95,20615.0,0.13,bed_bath_table,BA
17.84,199.9,768.55,4.05,11550.0,0.09,health_beauty,GO
12.69,49.9,317.2,0.7,23625.0,0.25,home_confort,SP
18.11,479.8,392.18,0.5,1936.0,0.04,watches_gifts,RJ
16.69,133.0,591.56,0.65,5832.0,0.12,sports_leisure,DF
39.42,69.9,356.25,1.04,25256.0,0.56,housewares,RJ
11.98,196.0,278.77,1.0,6480.0,0.06,computers_accessories,SP
33.89,229.04,727.27,7.62,52094.0,0.15,auto,ES
15.74,225.0,600.82,4.6,57000.0,0.07,bed_bath_table,MG
66.89,51.73,1067.34,2.0,54340.0,1.29,agro_industry_and_commerce,RJ
15.17,59.7,650.42,0.65,1456.0,0.25,health_beauty,RJ
16.11,26.0,340.25,0.1,4500.0,0.62,home_appliances,RJ
23.84,148.0,405.11,1.85,14080.0,0.16,construction_tools_construction,SP
31.96,117.3,535.64,4.11,44890.0,0.27,auto,MG
7.78,29.98,18.55,0.22,1326.0,0.26,telephony,SP
8.72,19.99,96.13,0.12,1890.0,0.44,computers_accessories,SP
15.41,158.26,139.69,0.88,27968.0,0.1,luggage_accessories,SP
14.52,25.0,347.66,0.05,880.0,0.58,cool_stuff,PR
18.3,246.62,656.03,0.9,2576.0,0.07,telephony,PE
37.05,136.99,151.65,15.48,47061.0,0.27,office_furniture,SP
15.1,29.9,674.48,0.2,1875.0,0.5,unknown,SP
15.3,77.89,643.74,0.22,3000.0,0.2,health_beauty,SP
13.38,55.0,156.84,0.18,2688.0,0.24,health_beauty,RJ
20.19,33.99,1459.82,1.2,2912.0,0.59,housewares,BA
15.2,65.0,542.99,1.03,4080.0,0.23,sports_leisure,SP
14.15,56.99,737.32,0.35,5625.0,0.25,perfumery,ES
14.99,128.0,298.19,1.25,10143.0,0.12,sports_leisure,SP
21.79,70.0,541.76,2.5,12000.0,0.31,furniture_decor,RS
18.72,209.99,407.59,1.8,15750.0,0.09,cool_stuff,SC
21.15,24.9,2101.55,0.2,4199.0,0.85,consoles_games,PI
7.39,39.0,22.75,0.2,352.0,0.19,watches_gifts,SP
18.77,95.0,1109.54,0.35,990.0,0.2,health_beauty,RS
17.92,25.0,892.78,0.6,8400.0,0.72,cool_stuff,MG
16.14,180.0,355.27,0.45,4032.0,0.09,furniture_decor,RJ
15.39,89.99,343.39,0.25,3960.0,0.17,health_beauty,PR
8.37,75.0,349.65,1.65,21780.0,0.11,housewares,RJ
12.54,149.0,269.09,0.35,704.0,0.08,unknown,SP
16.53,79.99,357.39,1.81,37788.0,0.21,bed_bath_table,PR
17.7,113.0,207.92,1.62,12789.0,0.16,sports_leisure,SP
12.1,110.0,27.04,6.2,56250.0,0.11,baby,PR
15.66,79.9,352.62,0.4,4000.0,0.2,toys,PR
7.4,20.39,4.42,0.35,5000.0,0.36,stationery,SP
138.91,119.9,480.61,8.45,201348.0,1.16,sports_leisure,SP
24.1,530.0,372.39,4.6,34776.0,0.04,pet_shop,SP
7.78,5.9,70.38,0.08,5440.0,1.32,perfumery,SP
16.62,122.9,900.73,1.8,4500.0,0.14,bed_bath_table,ES
38.47,59.9,2252.22,0.3,9600.0,0.64,bed_bath_table,CE
12.13,89.9,310.43,1.38,20000.0,0.14,bed_bath_table,SP
34.15,13.3,1970.4,0.18,4862.0,2.57,electronics,PI
13.02,96.99,375.85,0.9,14400.0,0.13,toys,SP
57.44,109.99,768.91,14.95,81620.0,0.52,baby,SC
30.44,170.0,2311.06,0.7,10080.0,0.18,telephony,RS
14.52,30.0,336.69,0.12,1890.0,0.48,computers_accessories,RJ
22.06,27.9,1420.59,0.05,2550.0,0.79,auto,BA
26.43,99.0,2467.38,3.0,4664.0,0.27,furniture_decor,PA
9.27,21.99,6.48,0.3,3480.0,0.42,sports_leisure,SC
18.35,67.5,537.13,0.6,2560.0,0.27,bed_bath_table,RJ
15.34,84.89,850.58,0.32,3458.0,0.18,computers_accessories,DF
16.11,28.9,560.43,0.45,4800.0,0.56,bed_bath_table,MG
7.78,39.9,8.24,0.3,6000.0,0.2,sports_leisure,SP
12.79,18.9,399.17,0.15,1188.0,0.68,telephony,SP
15.23,38.7,480.11,0.45,4096.0,0.39,pet_shop,MG
34.15,112.99,1015.69,8.45,42400.0,0.3,office_furniture,RS
0.0,69.9,508.92,2.6,15000.0,0.0,furniture_decor,MG
27.59,149.9,1812.68,0.53,4840.0,0.18,computers_accessories,MG
25.0,83.2,13.22,4.1,76800.0,0.3,housewares,SP
15.09,188.99,108.96,1.8,15625.0,0.08,unknown,SP
12.43,99.99,69.75,1.7,19500.0,0.12,art,SP
18.23,12.88,980.05,0.18,2304.0,1.42,computers_accessories,RS
8.72,56.99,107.89,0.4,2178.0,0.15,perfumery,SP
16.66,58.99,349.53,0.2,3960.0,0.28,health_beauty,RJ
14.72,59.0,483.0,1.15,9030.0,0.25,bed_bath_table,SP
9.34,24.9,12.15,0.7,640.0,0.38,fashion_male_clothing,SP
15.1,44.9,337.79,0.35,1040.0,0.34,computers_accessories,PR
15.62,125.0,587.11,0.3,4800.0,0.12,health_beauty,SP
15.14,55.9,300.04,0.1,8000.0,0.27,perfumery,MG
19.32,40.5,831.02,0.4,25168.0,0.48,sports_leisure,SP
18.23,30.21,650.14,1.58,3240.0,0.6,computers_accessories,SC
15.19,63.0,388.58,0.2,2970.0,0.24,stationery,SC
7.9,78.9,2.84,0.18,2210.0,0.1,computers_accessories,PR
22.09,54.99,1388.09,0.18,1326.0,0.4,telephony,BA
18.23,32.5,270.46,0.1,1200.0,0.56,construction_tools_construction,RJ
21.08,99.0,358.63,3.5,20020.0,0.21,cool_stuff,PR
18.35,109.9,373.53,3.6,60000.0,0.17,baby,SP
9.08,127.0,17.27,0.5,1350.0,0.07,books_technical,SP
34.15,29.9,2027.08,0.3,1280.0,1.14,cool_stuff,SP
18.9,93.99,1473.0,1.25,4896.0,0.2,health_beauty,BA
7.78,59.99,20.49,0.12,1040.0,0.13,agro_industry_and_commerce,SP
37.95,149.0,2012.27,0.28,3136.0,0.26,watches_gifts,PE
17.6,43.0,491.3,1.15,27000.0,0.41,housewares,RJ
26.82,219.9,1998.49,0.6,1936.0,0.12,watches_gifts,PE
14.98,95.9,113.41,1.55,11352.0,0.16,bed_bath_table,SP
15.1,49.9,562.38,0.15,8000.0,0.3,sports_leisure,RJ
14.1,13.65,356.6,0.18,3630.0,1.03,electronics,RJ
38.81,179.9,2347.75,1.3,31500.0,0.22,sports_leisure,AM
13.3,122.5,414.42,9.65,57750.0,0.11,auto,SP
16.11,29.5,465.76,0.35,15075.0,0.55,sports_leisure,SP
18.22,495.0,174.21,0.28,2496.0,0.04,watches_gifts,PR
13.37,30.1,80.39,0.85,8000.0,0.44,garden_tools,PR
11.86,10.6,13.35,0.4,6240.0,1.12,housewares,SP
13.47,18.9,392.74,0.15,3840.0,0.71,electronics,SP
12.61,159.0,501.81,4.85,21112.0,0.08,sports_leisure,SP
18.89,234.9,601.68,1.0,40128.0,0.08,stationery,RJ
15.79,29.9,781.49,0.25,4096.0,0.53,sports_leisure,MS
16.4,109.9,130.87,2.5,34020.0,0.15,furniture_decor,SP
67.57,140.0,269.06,10.35,59737.0,0.48,furniture_bedroom,SP
17.95,99.9,460.77,1.35,3312.0,0.18,bed_bath_table,RJ
11.85,21.9,335.46,0.15,2800.0,0.54,electronics,SP
15.45,99.99,1096.9,0.2,3360.0,0.16,watches_gifts,RS
21.89,349.9,855.4,0.9,11400.0,0.06,health_beauty,MG
12.48,18.9,533.89,0.15,2208.0,0.66,electronics,SP
8.77,169.9,156.44,0.25,1936.0,0.05,watches_gifts,SP
15.3,79.0,451.2,0.12,2210.0,0.19,watches_gifts,SP
12.6,99.0,67.72,2.22,5940.0,0.13,construction_tools_construction,SP
9.96,109.9,586.94,1.5,23625.0,0.09,bed_bath_table,RJ
18.02,110.0,214.02,1.3,11154.0,0.16,stationery,RS
18.0,389.9,134.97,30.0,216000.0,0.05,housewares,SP
22.05,899.0,415.04,0.9,3240.0,0.02,watches_gifts,RJ
38.95,139.99,2693.71,0.7,11616.0,0.28,toys,AM
15.1,13.99,611.53,0.15,352.0,1.08,unknown,MG
15.23,13.65,876.34,0.18,3630.0,1.12,electronics,DF
7.78,13.99,35.77,0.05,880.0,0.56,perfumery,SP
7.39,42.0,27.95,0.2,2496.0,0.18,sports_leisure,SP
15.1,27.99,680.41,0.2,816.0,0.54,telephony,MG
14.52,26.9,502.38,0.11,5168.0,0.54,health_beauty,MG
21.67,124.99,1643.52,0.38,8120.0,0.17,baby,PE
8.91,79.99,17.36,1.81,37788.0,0.11,bed_bath_table,SP
12.7,329.99,4.48,2.3,22464.0,0.04,baby,RJ
48.28,120.0,2240.49,16.55,57200.0,0.4,housewares,PI
25.65,1699.99,511.37,0.1,2560.0,0.02,fashion_bags_accessories,MG
10.96,49.0,19.76,0.2,640.0,0.22,fashion_bags_accessories,SP
23.09,72.99,451.72,5.3,31500.0,0.32,health_beauty,RJ
14.52,37.99,435.67,0.15,1520.0,0.38,telephony,SC
18.16,104.87,780.76,0.55,13524.0,0.17,bed_bath_table,GO
23.63,119.0,1067.26,1.2,15625.0,0.2,housewares,RS
8.99,89.0,28.57,0.95,640.0,0.1,watches_gifts,SP
33.11,89.99,859.52,6.05,43320.0,0.37,housewares,RS
17.92,41.9,830.85,0.4,3705.0,0.43,bed_bath_table,SP
17.88,89.9,960.89,1.38,20000.0,0.2,bed_bath_table,RS
14.0,27.5,253.82,0.52,5760.0,0.51,housewares,SC
22.18,67.0,1253.61,0.49,5060.0,0.33,computers_accessories,MS
14.61,799.99,19.03,0.7,14144.0,0.02,cool_stuff,RJ
53.3,78.99,339.58,10.9,57190.0,0.68,housewares,RJ
121.22,2029.0,208.32,4.6,4400.0,0.06,garden_tools,RS
26.67,198.9,2263.47,0.4,3024.0,0.13,cool_stuff,PA
15.1,40.99,560.07,0.2,3861.0,0.37,computers_accessories,MG
13.37,14.09,104.08,0.4,2480.0,0.95,construction_tools_construction,SP
15.1,50.0,707.45,0.15,2880.0,0.3,consoles_games,RJ
14.1,16.5,338.97,0.35,836.0,0.86,telephony,PR
11.85,15.0,339.48,0.2,5040.0,0.79,books_general_interest,SP
28.75,49.9,2002.02,1.65,19800.0,0.58,garden_tools,PE
15.23,49.9,329.44,0.4,2420.0,0.3,housewares,MG
13.93,129.9,286.67,1.3,13600.0,0.11,furniture_decor,SP
23.35,109.9,460.75,1.35,3312.0,0.21,bed_bath_table,RJ
21.02,75.0,1168.92,2.5,14400.0,0.28,furniture_decor,ES
